event_id,timestamp,equipment_id,event_type,details
1005,2023-08-25 22:09:32.766410,MCH001,STOP,Stop: Mechanical Failure
1006,2023-08-25 23:10:42.720262,MCH001,START,Restart after Unplanned - Breakdown
1026,2023-09-01 05:08:12.735570,MCH001,STOP,Stop: Tooling Issue
1027,2023-09-01 05:10:02.901992,MCH001,START,Restart after Unplanned - Process
1069,2023-09-12 12:24:48.334715,MCH001,STOP,Stop: Setup Adjustment
1070,2023-09-12 12:53:16.978186,MCH001,START,Restart after Changeover
1103,2023-09-21 19:03:44.429049,MCH001,ALARM,Pre-stop alarm: Mechanical Failure
1104,2023-09-21 19:03:44.429049,MCH001,STOP,Stop: Mechanical Failure
1105,2023-09-21 19:50:41.814588,MCH001,START,Restart after Unplanned - Breakdown
1125,2023-09-25 00:49:27.571580,MCH001,ALARM,Pre-stop alarm: Other Breakdown
1126,2023-09-25 00:49:27.571580,MCH001,STOP,Stop: Other Breakdown
1129,2023-09-25 01:54:30.527225,MCH001,START,Restart after Unplanned - Breakdown
1185,2023-10-08 07:43:31.468756,MCH001,ALARM,Pre-stop alarm: Hydraulic Leak
1186,2023-10-08 07:43:31.468756,MCH001,STOP,Stop: Hydraulic Leak
1187,2023-10-08 08:17:45.300863,MCH001,START,Restart after Unplanned - Breakdown
1201,2023-10-10 08:41:37.542755,MCH001,ALARM,Pre-stop alarm: Mechanical Failure
1202,2023-10-10 08:41:37.542755,MCH001,STOP,Stop: Mechanical Failure
1203,2023-10-10 11:08:21.934676,MCH001,START,Restart after Unplanned - Breakdown
1220,2023-10-16 12:49:14.759691,MCH001,STOP,Stop: Material Shortage
1221,2023-10-16 14:30:37.812528,MCH001,START,Restart after Unplanned - Process
1279,2023-10-29 04:24:24.598296,MCH001,ALARM,Pre-stop alarm: Sensor Error
1280,2023-10-29 04:24:24.598296,MCH001,STOP,Stop: Sensor Error
1282,2023-10-29 07:05:27.827440,MCH001,START,Restart after Unplanned - Breakdown
1285,2023-10-30 21:35:48.689847,MCH001,STOP,Stop: Operator Error
1286,2023-10-30 21:43:17.400640,MCH001,START,Restart after Unplanned - Process
1289,2023-11-01 17:23:34.378311,MCH001,STOP,Stop: Setup Adjustment
1290,2023-11-01 17:52:36.042550,MCH001,START,Restart after Changeover
1314,2023-11-05 19:02:13.463272,MCH001,STOP,Stop: Material Shortage
1317,2023-11-05 21:14:25.325299,MCH001,START,Restart after Unplanned - Process
1320,2023-11-07 06:02:47.352448,MCH001,STOP,Stop: Software Update
1321,2023-11-07 14:47:42.967642,MCH001,START,Restart after Planned Maintenance
1338,2023-11-11 16:21:30.371601,MCH001,STOP,Stop: Tooling Issue
1339,2023-11-11 17:45:25.132097,MCH001,START,Restart after Unplanned - Process
1374,2023-11-22 10:57:48.750119,MCH001,ALARM,Pre-stop alarm: Sensor Error
1375,2023-11-22 10:57:48.750119,MCH001,STOP,Stop: Sensor Error
1376,2023-11-22 12:15:41.754731,MCH001,START,Restart after Unplanned - Breakdown
1378,2023-11-23 02:02:17.868980,MCH001,ALARM,Pre-stop alarm: Hydraulic Leak
1379,2023-11-23 02:02:17.868980,MCH001,STOP,Stop: Hydraulic Leak
1380,2023-11-23 04:36:24.026422,MCH001,START,Restart after Unplanned - Breakdown
1475,2023-12-14 13:44:22.809501,MCH001,ALARM,Pre-stop alarm: Other Breakdown
1476,2023-12-14 13:44:22.809501,MCH001,STOP,Stop: Other Breakdown
1477,2023-12-14 13:51:44.794199,MCH001,START,Restart after Unplanned - Breakdown
1524,2023-12-27 20:08:21.803862,MCH001,ALARM,Pre-stop alarm: Sensor Error
1525,2023-12-27 20:08:21.803862,MCH001,STOP,Stop: Sensor Error
1526,2023-12-28 06:18:44.350169,MCH001,START,Restart after Unplanned - Breakdown
1527,2023-12-28 07:59:04.277042,MCH001,ALARM,Pre-stop alarm: Sensor Error
1528,2023-12-28 07:59:04.277042,MCH001,STOP,Stop: Sensor Error
1529,2023-12-28 10:34:21.755645,MCH001,START,Restart after Unplanned - Breakdown
8,2023-01-01 07:48:00.000000,MCH002,START,Initial startup
32,2023-01-04 23:26:21.036243,MCH002,ALARM,Pre-stop alarm: Sensor Error
33,2023-01-04 23:26:21.036243,MCH002,STOP,Stop: Sensor Error
34,2023-01-05 02:02:18.133178,MCH002,START,Restart after Unplanned - Breakdown
142,2023-02-04 02:07:22.270124,MCH002,STOP,Stop: Setup Adjustment
143,2023-02-04 02:36:12.280282,MCH002,START,Restart after Changeover
148,2023-02-04 13:33:55.109058,MCH002,ALARM,Pre-stop alarm: Hydraulic Leak
149,2023-02-04 13:33:55.109058,MCH002,STOP,Stop: Hydraulic Leak
150,2023-02-04 17:13:14.941932,MCH002,START,Restart after Unplanned - Breakdown
176,2023-02-11 12:07:59.420270,MCH002,STOP,Stop: Calibration
177,2023-02-11 19:16:54.218666,MCH002,START,Restart after Planned Maintenance
188,2023-02-14 23:29:12.248543,MCH002,ALARM,Pre-stop alarm: Sensor Error
189,2023-02-14 23:29:12.248543,MCH002,STOP,Stop: Sensor Error
190,2023-02-15 02:33:20.036269,MCH002,START,Restart after Unplanned - Breakdown
211,2023-02-18 19:11:03.759302,MCH002,ALARM,Pre-stop alarm: Hydraulic Leak
212,2023-02-18 19:11:03.759302,MCH002,STOP,Stop: Hydraulic Leak
214,2023-02-19 05:04:28.590306,MCH002,START,Restart after Unplanned - Breakdown
256,2023-03-03 15:11:08.732242,MCH002,ALARM,Pre-stop alarm: Mechanical Failure
257,2023-03-03 15:11:08.732242,MCH002,STOP,Stop: Mechanical Failure
258,2023-03-03 15:46:29.677844,MCH002,START,Restart after Unplanned - Breakdown
311,2023-03-15 06:55:17.465260,MCH002,ALARM,Pre-stop alarm: Mechanical Failure
312,2023-03-15 06:55:17.465260,MCH002,STOP,Stop: Mechanical Failure
313,2023-03-15 09:26:08.580871,MCH002,START,Restart after Unplanned - Breakdown
322,2023-03-18 17:09:37.890777,MCH002,STOP,Stop: Material Shortage
323,2023-03-18 17:22:57.946254,MCH002,START,Restart after Unplanned - Process
340,2023-03-20 23:30:20.795383,MCH002,ALARM,Pre-stop alarm: Other Breakdown
341,2023-03-20 23:30:20.795383,MCH002,STOP,Stop: Other Breakdown
342,2023-03-21 02:54:24.706899,MCH002,START,Restart after Unplanned - Breakdown
357,2023-03-23 07:09:52.901677,MCH002,ALARM,Pre-stop alarm: Electrical Fault
358,2023-03-23 07:09:52.901677,MCH002,STOP,Stop: Electrical Fault
359,2023-03-23 07:55:56.748683,MCH002,START,Restart after Unplanned - Breakdown
367,2023-03-25 12:41:47.873402,MCH002,STOP,Stop: Material Shortage
368,2023-03-25 13:09:41.909085,MCH002,START,Restart after Unplanned - Process
380,2023-03-31 06:07:46.218699,MCH002,STOP,Stop: Material Shortage
381,2023-03-31 06:53:22.702190,MCH002,START,Restart after Unplanned - Process
384,2023-04-01 18:08:09.006215,MCH002,STOP,Stop: Product Changeover
385,2023-04-01 18:38:21.205894,MCH002,START,Restart after Changeover
404,2023-04-09 15:08:48.616713,MCH002,ALARM,Pre-stop alarm: Hydraulic Leak
405,2023-04-09 15:08:48.616713,MCH002,STOP,Stop: Hydraulic Leak
406,2023-04-09 18:02:35.023413,MCH002,START,Restart after Unplanned - Breakdown
456,2023-04-21 20:04:21.696839,MCH002,STOP,Stop: Setup Adjustment
457,2023-04-21 20:31:51.546115,MCH002,START,Restart after Changeover
593,2023-05-24 19:37:33.610816,MCH002,ALARM,Pre-stop alarm: Hydraulic Leak
594,2023-05-24 19:37:33.610816,MCH002,STOP,Stop: Hydraulic Leak
597,2023-05-24 21:26:39.493316,MCH002,START,Restart after Unplanned - Breakdown
599,2023-05-24 23:37:15.312670,MCH002,ALARM,Pre-stop alarm: Other Breakdown
600,2023-05-24 23:37:15.312670,MCH002,STOP,Stop: Other Breakdown
601,2023-05-25 00:47:30.986171,MCH002,START,Restart after Unplanned - Breakdown
608,2023-05-27 04:32:42.129475,MCH002,ALARM,Pre-stop alarm: Mechanical Failure
609,2023-05-27 04:32:42.129475,MCH002,STOP,Stop: Mechanical Failure
610,2023-05-27 05:15:10.946461,MCH002,START,Restart after Unplanned - Breakdown
616,2023-05-28 03:04:16.482194,MCH002,STOP,Stop: Operator Error
618,2023-05-28 04:44:18.231765,MCH002,START,Restart after Unplanned - Process
620,2023-05-29 10:52:50.197846,MCH002,STOP,Stop: Quality Issue
621,2023-05-29 11:06:55.806182,MCH002,START,Restart after Unplanned - Process
657,2023-06-05 14:16:22.227455,MCH002,STOP,Stop: Routine Check
658,2023-06-05 21:29:57.835274,MCH002,START,Restart after Planned Maintenance
666,2023-06-08 00:38:05.358490,MCH002,ALARM,Pre-stop alarm: Mechanical Failure
667,2023-06-08 00:38:05.358490,MCH002,STOP,Stop: Mechanical Failure
669,2023-06-08 03:09:55.901726,MCH002,START,Restart after Unplanned - Breakdown
675,2023-06-08 18:29:43.331035,MCH002,ALARM,Pre-stop alarm: Sensor Error
676,2023-06-08 18:29:43.331035,MCH002,STOP,Stop: Sensor Error
677,2023-06-08 19:18:54.121499,MCH002,START,Restart after Unplanned - Breakdown
679,2023-06-09 07:31:16.056118,MCH002,STOP,Stop: Product Changeover
682,2023-06-09 08:03:59.537172,MCH002,START,Restart after Changeover
701,2023-06-16 16:49:16.136069,MCH002,STOP,Stop: Material Shortage
702,2023-06-16 22:27:00.018571,MCH002,START,Restart after Unplanned - Process
711,2023-06-19 12:47:45.824525,MCH002,ALARM,Pre-stop alarm: Mechanical Failure
712,2023-06-19 12:47:45.824525,MCH002,STOP,Stop: Mechanical Failure
716,2023-06-20 00:04:52.177788,MCH002,START,Restart after Unplanned - Breakdown
728,2023-06-22 22:47:10.877404,MCH002,STOP,Stop: Setup Adjustment
729,2023-06-22 23:16:55.576531,MCH002,START,Restart after Changeover
748,2023-06-28 10:05:04.250150,MCH002,STOP,Stop: Material Shortage
749,2023-06-28 11:39:53.468880,MCH002,START,Restart after Unplanned - Process
753,2023-06-29 10:07:46.327442,MCH002,ALARM,Pre-stop alarm: Electrical Fault
754,2023-06-29 10:07:46.327442,MCH002,STOP,Stop: Electrical Fault
757,2023-06-29 13:37:13.669941,MCH002,START,Restart after Unplanned - Breakdown
762,2023-07-01 14:31:01.921804,MCH002,STOP,Stop: Operator Error
763,2023-07-01 15:07:36.184259,MCH002,START,Restart after Unplanned - Process
766,2023-07-02 17:40:40.239123,MCH002,STOP,Stop: Quality Issue
769,2023-07-02 20:20:09.966376,MCH002,START,Restart after Unplanned - Process
775,2023-07-03 15:41:20.309594,MCH002,STOP,Stop: Tooling Issue
776,2023-07-03 17:02:33.896245,MCH002,START,Restart after Unplanned - Process
782,2023-07-05 02:19:38.635890,MCH002,ALARM,Pre-stop alarm: Electrical Fault
783,2023-07-05 02:19:38.635890,MCH002,STOP,Stop: Electrical Fault
785,2023-07-05 04:13:56.305305,MCH002,START,Restart after Unplanned - Breakdown
789,2023-07-07 08:04:00.625050,MCH002,STOP,Stop: Material Shortage
790,2023-07-07 09:03:14.008937,MCH002,START,Restart after Unplanned - Process
791,2023-07-07 14:00:57.340221,MCH002,STOP,Stop: Operator Error
792,2023-07-07 14:07:04.619429,MCH002,START,Restart after Unplanned - Process
820,2023-07-18 13:41:35.247213,MCH002,ALARM,Pre-stop alarm: Sensor Error
821,2023-07-18 13:41:35.247213,MCH002,STOP,Stop: Sensor Error
825,2023-07-18 20:03:52.143640,MCH002,START,Restart after Unplanned - Breakdown
838,2023-07-19 18:37:59.447314,MCH002,ALARM,Pre-stop alarm: Mechanical Failure
839,2023-07-19 18:37:59.447314,MCH002,STOP,Stop: Mechanical Failure
840,2023-07-19 21:46:28.489382,MCH002,START,Restart after Unplanned - Breakdown
852,2023-07-21 16:50:54.675745,MCH002,STOP,Stop: Operator Error
853,2023-07-21 16:52:58.841752,MCH002,START,Restart after Unplanned - Process
873,2023-07-26 12:40:01.091800,MCH002,ALARM,Pre-stop alarm: Other Breakdown
874,2023-07-26 12:40:01.091800,MCH002,STOP,Stop: Other Breakdown
875,2023-07-26 15:03:41.190790,MCH002,START,Restart after Unplanned - Breakdown
902,2023-08-04 23:37:26.118474,MCH002,ALARM,Pre-stop alarm: Hydraulic Leak
903,2023-08-04 23:37:26.118474,MCH002,STOP,Stop: Hydraulic Leak
904,2023-08-04 23:50:43.253685,MCH002,START,Restart after Unplanned - Breakdown
916,2023-08-08 20:31:33.844120,MCH002,ALARM,Pre-stop alarm: Electrical Fault
917,2023-08-08 20:31:33.844120,MCH002,STOP,Stop: Electrical Fault
924,2023-08-09 23:21:25.870613,MCH002,START,Restart after Unplanned - Breakdown
930,2023-08-11 04:32:44.824728,MCH002,ALARM,Pre-stop alarm: Electrical Fault
931,2023-08-11 04:32:44.824728,MCH002,STOP,Stop: Electrical Fault
932,2023-08-11 04:56:07.227754,MCH002,START,Restart after Unplanned - Breakdown
937,2023-08-12 11:03:16.784252,MCH002,ALARM,Pre-stop alarm: Electrical Fault
938,2023-08-12 11:03:16.784252,MCH002,STOP,Stop: Electrical Fault
939,2023-08-13 00:39:08.634649,MCH002,START,Restart after Unplanned - Breakdown
968,2023-08-20 00:03:33.837963,MCH002,ALARM,Pre-stop alarm: Other Breakdown
969,2023-08-20 00:03:33.837963,MCH002,STOP,Stop: Other Breakdown
971,2023-08-20 00:18:04.718078,MCH002,START,Restart after Unplanned - Breakdown
981,2023-08-21 08:35:07.763913,MCH002,ALARM,Pre-stop alarm: Other Breakdown
982,2023-08-21 08:35:07.763913,MCH002,STOP,Stop: Other Breakdown
984,2023-08-21 10:41:40.992256,MCH002,START,Restart after Unplanned - Breakdown
1028,2023-09-02 12:01:19.508950,MCH002,STOP,Stop: Product Changeover
1029,2023-09-02 12:34:30.427525,MCH002,START,Restart after Changeover
1032,2023-09-04 22:43:35.042968,MCH002,ALARM,Pre-stop alarm: Mechanical Failure
1033,2023-09-04 22:43:35.042968,MCH002,STOP,Stop: Mechanical Failure
1034,2023-09-04 22:49:28.644694,MCH002,START,Restart after Unplanned - Breakdown
1048,2023-09-08 03:06:42.301028,MCH002,ALARM,Pre-stop alarm: Other Breakdown
1049,2023-09-08 03:06:42.301028,MCH002,STOP,Stop: Other Breakdown
1050,2023-09-08 04:22:40.026377,MCH002,START,Restart after Unplanned - Breakdown
1088,2023-09-19 19:12:00.660375,MCH002,STOP,Stop: Setup Adjustment
1089,2023-09-19 19:47:57.508973,MCH002,START,Restart after Changeover
1132,2023-09-26 01:07:33.770616,MCH002,ALARM,Pre-stop alarm: Sensor Error
1133,2023-09-26 01:07:33.770616,MCH002,STOP,Stop: Sensor Error
1142,2023-09-26 13:00:18.413628,MCH002,START,Restart after Unplanned - Breakdown
1233,2023-10-19 17:00:51.508199,MCH002,ALARM,Pre-stop alarm: Electrical Fault
1234,2023-10-19 17:00:51.508199,MCH002,STOP,Stop: Electrical Fault
1237,2023-10-19 23:41:11.254615,MCH002,START,Restart after Unplanned - Breakdown
1245,2023-10-21 16:59:30.756245,MCH002,ALARM,Pre-stop alarm: Electrical Fault
1246,2023-10-21 16:59:30.756245,MCH002,STOP,Stop: Electrical Fault
1247,2023-10-21 17:52:56.673768,MCH002,START,Restart after Unplanned - Breakdown
1296,2023-11-03 02:07:01.549262,MCH002,ALARM,Pre-stop alarm: Hydraulic Leak
1297,2023-11-03 02:07:01.549262,MCH002,STOP,Stop: Hydraulic Leak
1298,2023-11-03 03:33:13.324659,MCH002,START,Restart after Unplanned - Breakdown
1335,2023-11-11 11:34:31.239543,MCH002,ALARM,Pre-stop alarm: Hydraulic Leak
1336,2023-11-11 11:34:31.239543,MCH002,STOP,Stop: Hydraulic Leak
1337,2023-11-11 11:49:28.993742,MCH002,START,Restart after Unplanned - Breakdown
1344,2023-11-15 08:13:30.372447,MCH002,ALARM,Pre-stop alarm: Sensor Error
1345,2023-11-15 08:13:30.372447,MCH002,STOP,Stop: Sensor Error
1346,2023-11-15 09:47:44.849746,MCH002,START,Restart after Unplanned - Breakdown
1386,2023-11-23 21:17:23.352133,MCH002,STOP,Stop: Setup Adjustment
1387,2023-11-23 21:41:33.338096,MCH002,START,Restart after Changeover
1389,2023-11-24 19:17:53.364551,MCH002,ALARM,Pre-stop alarm: Sensor Error
1390,2023-11-24 19:17:53.364551,MCH002,STOP,Stop: Sensor Error
1391,2023-11-25 02:19:46.323238,MCH002,START,Restart after Unplanned - Breakdown
1450,2023-12-09 08:48:48.783177,MCH002,STOP,Stop: Quality Issue
1451,2023-12-09 09:13:19.875771,MCH002,START,Restart after Unplanned - Process
1452,2023-12-09 15:31:59.887428,MCH002,STOP,Stop: Quality Issue
1453,2023-12-09 16:34:39.762714,MCH002,START,Restart after Unplanned - Process
1460,2023-12-11 05:08:11.803642,MCH002,ALARM,Pre-stop alarm: Other Breakdown
1461,2023-12-11 05:08:11.803642,MCH002,STOP,Stop: Other Breakdown
1464,2023-12-11 12:27:54.744304,MCH002,START,Restart after Unplanned - Breakdown
1472,2023-12-14 04:07:24.707760,MCH002,ALARM,Pre-stop alarm: Electrical Fault
1473,2023-12-14 04:07:24.707760,MCH002,STOP,Stop: Electrical Fault
1474,2023-12-14 05:28:43.600818,MCH002,START,Restart after Unplanned - Breakdown
1478,2023-12-16 11:07:20.459631,MCH002,STOP,Stop: Tooling Issue
1479,2023-12-16 11:22:46.662339,MCH002,START,Restart after Unplanned - Process
1486,2023-12-17 09:16:38.567486,MCH002,STOP,Stop: Setup Adjustment
1487,2023-12-17 09:41:59.765618,MCH002,START,Restart after Changeover
1506,2023-12-22 08:22:39.536035,MCH002,STOP,Stop: Material Shortage
1507,2023-12-22 09:07:49.374980,MCH002,START,Restart after Unplanned - Process
1521,2023-12-27 12:35:04.264634,MCH002,ALARM,Pre-stop alarm: Hydraulic Leak
1522,2023-12-27 12:35:04.264634,MCH002,STOP,Stop: Hydraulic Leak
1523,2023-12-27 15:55:44.619085,MCH002,START,Restart after Unplanned - Breakdown
9,2023-01-01 07:50:00.000000,MCH003,START,Initial startup
26,2023-01-04 08:52:40.984693,MCH003,ALARM,Pre-stop alarm: Sensor Error
27,2023-01-04 08:52:40.984693,MCH003,STOP,Stop: Sensor Error
28,2023-01-04 09:22:16.302111,MCH003,START,Restart after Unplanned - Breakdown
67,2023-01-11 16:09:32.818125,MCH003,ALARM,Pre-stop alarm: Electrical Fault
68,2023-01-11 16:09:32.818125,MCH003,STOP,Stop: Electrical Fault
69,2023-01-11 16:40:02.485919,MCH003,START,Restart after Unplanned - Breakdown
110,2023-01-26 11:40:22.741368,MCH003,STOP,Stop: Operator Error
111,2023-01-26 12:16:02.034208,MCH003,START,Restart after Unplanned - Process
132,2023-02-03 01:13:15.700383,MCH003,ALARM,Pre-stop alarm: Hydraulic Leak
133,2023-02-03 01:13:15.700383,MCH003,STOP,Stop: Hydraulic Leak
139,2023-02-03 14:57:41.758201,MCH003,START,Restart after Unplanned - Breakdown
162,2023-02-08 21:08:03.853749,MCH003,ALARM,Pre-stop alarm: Sensor Error
163,2023-02-08 21:08:03.853749,MCH003,STOP,Stop: Sensor Error
164,2023-02-08 22:57:38.726901,MCH003,START,Restart after Unplanned - Breakdown
174,2023-02-10 20:48:07.497594,MCH003,STOP,Stop: Quality Issue
175,2023-02-10 21:55:39.080291,MCH003,START,Restart after Unplanned - Process
